0,!
1,""""
2,#
3,$
4,%
5,&
6,'
7,(
8,)
9,*
10,+
11,","
12,-
13,.
14,/
15,0
16,1
17,2
18,3
19,4
20,5
21,6
22,7
23,8
24,9
25,:
26,;
27,<
28,=
29,>
30,?
31,@
32,[
33,\
34,]
35,^
36,_
37,`
38,a
39,b
40,bʷ
41,c
42,d
43,dʷ
44,d͡ʒ
45,d͡ʒʷ
46,e
47,f
48,fʷ
49,g
50,h
51,hʷ
52,i
53,j
54,k
55,kʷ
56,l
57,lʷ
58,m
59,mʷ
60,n
61,nʷ
62,o
63,p
64,pʼ
65,pʼʷ
66,q
67,qʰ
68,qʰʷ
69,qʷ
70,r
71,rʷ
72,s
73,sʷ
74,t
75,tʷ
76,tʼ
77,tʼʷ
78,t͡sʼ
79,t͡sʼʷ
80,t͡ʃ
81,t͡ʃʷ
82,t͡ʃʼ
83,t͡ʃʼʷ
84,u
85,v
86,w
87,x
88,xʷ
89,y
90,z
91,zʷ
92,{
93,|
94,}
95,~
96,
97,
98,
99,
100,
101,
102,
103, 
104,¢
105,£
106,¤
107,¥
108,¦
109,§
110,¨
111,©
112,ª
113,«
114,¬
115,­
116,®
117,¯
118,°
119,²
120,³
121,´
122,µ
123,¶
124,·
125,»
126,¼
127,½
128,¾
129,×
130,ß
131,à
132,á
133,â
134,ã
135,ä
136,å
137,æ
138,ç
139,è
140,é
141,ê
142,ë
143,ì
144,í
145,î
146,ï
147,ð
148,ñ
149,ò
150,ó
151,ô
152,õ
153,ö
154,÷
155,ø
156,ù
157,ú
158,û
159,ü
160,þ
161,ÿ
162,ā
163,ą
164,ć
165,č
166,ē
167,ĕ
168,ę
169,ğ
170,ħ
171,ħʷ
172,ī
173,ı
174,ľ
175,ł
176,ń
177,ŋ
178,ŋʷ
179,œ
180,ś
181,ş
182,š
183,ŭ
184,ƒ
185,ǀ
186,ǝ
187,ȃ
188,ɇ
189,ɓ
190,ə
191,ɟ
192,ɡ
193,ɡʷ
194,ɥ
195,ɨ
196,ɲ
197,ɲʷ
198,ɹ
199,ʃ
200,ʃʷ
201,ʇ
202,ʍ
203,ʒ
204,ʔ
205,ʔʷ
206,ʕ
207,ʖ
208,ʻ
209,ʼ
210,ˆ
211,ˇ
212,ˌ
213,˜
214,˝
215,̀
216,́
217,̂
218,̄
219,̅
220,̆
221,̇
222,̈
223,̊
224,̋
225,̍
226,̎
227,̏
228,̐
229,̒
230,̓
231,̔
232,̕
233,̛
234,̮
235,̴
236,̵
237,̶
238,̸
239,̽
240,̿
241,͂
242,͆
243,͊
244,͌
245,͐
246,͑
247,͒
248,͗
249,͛
250,͜
251,͡
252,͢
253,ͤ
254,ͥ
255,ͦ
256,ͧ
257,ͨ
258,ͩ
259,ͪ
260,ͫ
261,ͭ
262,ͯ
263,δ
264,λ
265,φ
266,ω
267,ώ
268,а
269,б
